labela,labelx
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_pol_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_rus_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_swe_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a551,zyx_cr_AT_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a590,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a551,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a551,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a314,zyx_cr_ell_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a313,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_hun_deu_1
a551,zyx_cr_ita_deu_1
a551,zyx_cr_ita_deu_1
a551,zyx_cr_ita_deu_1
a551,zyx_cr_ita_deu_1
a551,zyx_cr_ita_deu_1
