""
Anf-a551:F:SELTENEN_Gegenstand_besorgen:rHH_rVB {-27}
a551:F:SELTENEN_Gegenstand_besorgen:rHH_rVB {-26}
a313:H:ZAUBERMITTEL_AUSRÜSTUNG_oder_WAFFE_einsetzen:rHD_rZM_rBZ {-8}
a551:H:HEILMITTEL_besorgen:rHD_rST {-7}
a551:h:SCHWEIGEPFLICHT_verhängen:rHD_rZO_fHD {-6}
Anf-a551:h:KRANKHEIT:rHH {-1}
a301:h:VERMISSEN_der_Angehörige:rHH_fHD {-1}
a551:h:KRANKHEIT:rHH {0}
a551:F:Zu_Beauftragungen_anregen:rHH_rVB {1}
a551:F:HEILMITTEL_besorgen:rVB {1}
a551:F:Zu_Beauftragungen_anregen:rHD_rVB {1}
a551:F:Zu_Beauftragungen_anregen:rHH_rST {1}
a551:F:VOGEL_erfassen:rHD_rHH_fHD {1}
a551:F:HEILMITTEL_besorgen:rHD_rHH_fHD {2}
a551:F:VEREINBARUNG:rHD_rHH_fHD {2}
a551:F:Um_einen_Auftrag_WERBEN:rHH_fHD {2}
a551:F:HEILMITTEL_besorgen:rHH_fHD {2}
a551:f:VERLOCKUNG:fHD_fVB {3}
a551:HF:HEILMITTEL_erfassen:rHD_rST_fHD {3}
a551:f:VERLOCKUNG:fHD {3}
a551:F:Beschaffung_der_AUSRÜSTUNG:rHH_fHD {3}
a551:Hh:Beschaffung_der_AUSRÜSTUNG:rHD_fHD_fZM {3}
a551:h:HEILMITTEL_besorgen:fHD {3}
a551:F:Krisenursachen_ergründen:rHD_rHF {4}
a551:h:Auf_VERLOCKUNG_reagieren:fHD_fVB {4}
a551:HF:HEILMITTEL_erfassen:rHD_rST_fHD_x {4}
a551:h:RESPEKTLOSIGKEIT:rHD_fHD_fZM {4}
a551:H:Beschaffung_der_AUSRÜSTUNG:rZM_fHD {4}
a551:h:Auf_VERLOCKUNG_reagieren:fHD {4}
a551:h:FREIHEITSBERAUBUNG:fHD_fVB {5}
a551:h:Sich_abseilen_LASSEN:rHD_fHD {5}
