quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_pol_deu_1,a551:h:Krankheit,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:N:N,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:N:N,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:N:N,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:N:N,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:F:Anregen_zu_Beauftragungen,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:N:N,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:N:N,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:N:N,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:N:N,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:F:Heilmittel_beschaffen,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:N:N,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:N:N,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:N:N,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:N:N,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:f:Anlocken,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:h:Anlocken_nachgehen,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:f:Festnahme_bzw_Sperren,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
