quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_pol_deu_1,a551:h:KRANKHEIT:rHH:,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:f:Zu_Beauftragungen_anregen:rHH_rVB:,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen caesarius sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:F:HEILMITTEL_besorgen:rHH_fHD:,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel caesarius bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:f:AMUSEMENT:fHD_fVB:,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:h:Dem_AMUSEMENT_nachgehen:fHD_fVB:,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:f:FREIHEITSBERAUBUNG:fHD_fVB:,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:f:AMUSEMENT:fHD_fVB:,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder,0
zyx_cr_pol_deu_1,a551:h:Dem_AMUSEMENT_nachgehen:fHD_fVB:,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder,0
zyx_cr_pol_deu_1,a551:f:FREIHEITSBERAUBUNG:fHD_fVB:,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder,0
zyx_cr_pol_deu_1,a551:H:Um_einen_Auftrag_werben:rHD_rHH:,zweiten hoeren war schickte dumme prinz ludwig reise an koenig ziehen lassen furcht letzten verlieren unmoeglich schien ausfuehre wobei schon zwei soehne untergegangen waren ludwig bat lange liess,0
zyx_cr_pol_deu_1,a551:f:AMUSEMENT:rHD_fVB:,reise traf gesellschaft kartenspieler eingeladen wurde sagte er wegen wichtigen geschaeftes zeit kartenspiel kurzem komme zurueck spielen nachdem gestaerkt hatte ritt aufs gerathewohl weiter,0
zyx_cr_pol_deu_1,a551:H:Dem_AMUSEMENT_nachgehen:rHD_fVB:,reise traf gesellschaft kartenspieler eingeladen wurde sagte er wegen wichtigen geschaeftes zeit kartenspiel kurzem komme zurueck spielen nachdem gestaerkt hatte ritt aufs gerathewohl weiter,0
zyx_cr_pol_deu_1,a551:H:Ortswechsel_durchführen:rHD_rST:,folgende nacht brachte grossen wald traf kleine frau altes weib ging haus heraus rief ihm prinz ludwig suchst hier spring herab pferde iss trink habe lege nieder ausruhst morgen hast weiten weg brauchst erzaehlen weiss rath geben weib weise frau tags darauf sagte sie setze pferd reite dahin wohin gehen wird schwester weitere sagen,0
