quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_pol_deu_1,a551:h:KRANKHEIT,koenig blind aerzte weisen konnten gesicht verschaffen,0
zyx_cr_pol_deu_1,a551:F:Zu_Beauftragungen_anregen,fand vielen jahren weiser mann ein sprach koenige giebt fernen lande vogel namen »caesarius« sang o koenig hoeren wuerdest waerest sogleich sehend,0
zyx_cr_pol_deu_1,a551:F:HEILMITTEL_besorgen,koenig drei soehne zwei klug dritte dumm rief koenig klugen soehne bat sie vogel »caesarius« bringen aelteste sohn ruestete grossen reise bestieg schoenes ross versicherte vater solle vogel haben,0
zyx_cr_pol_deu_1,a551:f:VERLOCKUNG,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:h:Auf_VERLOCKUNG_reagieren,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:h:FREIHEITSBERAUBUNG,aufs gerathewohl ritt ganzen tag folgende nacht vereinsamten herberge walde uebernachten musste fand gesellschaft kartenspieler bald noethigten spielen spiele verlor all geld ross kleider wurde fast nackend keller geworfen,0
zyx_cr_pol_deu_1,a551:f:VERLOCKUNG_x,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder –,0
zyx_cr_pol_deu_1,a551:h:Auf_VERLOCKUNG_reagieren_x,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder –,0
zyx_cr_pol_deu_1,a551:h:FREIHEITSBERAUBUNG_x,verlauf geraumen zeit hoeren war ritt sohn aus bruder vogel suchen traf herberge erging gerade bruder –,0
zyx_cr_pol_deu_1,a551:F:Um_einen_Auftrag_WERBEN,zweiten hoeren war schickte dumme prinz ludwig reise an koenig ziehen lassen furcht letzten verlieren unmoeglich schien ausfuehre wobei schon zwei soehne untergegangen waren ludwig bat lange liess,0
zyx_cr_pol_deu_1,a551:Hh:Auf_WERBEN_reagieren,zweiten hoeren war schickte dumme prinz ludwig reise an koenig ziehen lassen furcht letzten verlieren unmoeglich schien ausfuehre wobei schon zwei soehne untergegangen waren ludwig bat lange liess,0
zyx_cr_pol_deu_1,a551:f:VERLOCKUNG_x_x,reise traf gesellschaft kartenspieler eingeladen wurde sagte er wegen wichtigen geschaeftes zeit kartenspiel kurzem komme zurueck spielen« nachdem gestaerkt hatte ritt aufs gerathewohl weiter,0
zyx_cr_pol_deu_1,a551:H:Auf_VERLOCKUNG_reagieren,reise traf gesellschaft kartenspieler eingeladen wurde sagte er wegen wichtigen geschaeftes zeit kartenspiel kurzem komme zurueck spielen« nachdem gestaerkt hatte ritt aufs gerathewohl weiter,0
