quelle,labela,labelb1,labelc1,labelb2,labelc2,labelb3,labelc3,labelb4,labelc4,labelb5,labelc5,labeld,inhalt,index_binar
!_neu,N,N,N,N,N,N,N,N,N,N,N,N,ward reich juengsten schoene drei koenigstochter nacht sieben ganzen guten zweite haus bald wol wusste koenigin lebte tages helfen lebens herrschte nahmen beide traurig reiche geworden sagten alt koepfe weinen koenigs frage dafuer irgend vergangen grosses daher juengste klug weinte krank dachten begab ruhe verlor bekam vielen soehne maechtiges entkommen merken schweren lebten heilen koenigreiche siebenmal ermordet blindheit berufen konnten grossmutter mittlere weit aelteste wurde wurden konnte welt leben jahre mittel gebe gesicht maenner jenseit blind koenig aerzte weisen,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,es war einmal ein reicher mann der hatte eine einzige schoene tochter welche er ueber alle massen liebte seine frau war gestorben die tochter war ausserordentlich schoen und was sie nur immer wuenschte das gab ihr der vater weil er kein groesseres glueck kannte als sein maegdlein zu erfreuen vielleicht auch weil sie ein wuenschelfraeulein war dem jeder wunsch ausging  schenke mir ein kleid vater das von silber steht ich will dir auch einen kuss dafuer geben sprach eines tages die tochter zum vater und sie empfing bald das kleid und der vater empfing seinen kuss,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,schenke mir ein kleid lieber vater das vom golde steht sprach die tochter bald darauf und ich will dir zwei kuesse geben,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,auch diesen angenehmen tauschhandel ging der vater ein,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,schenke mir ein kleid das von diamanten steht liebster vater und ich will dir drei kuesse geben bat wiederum die tochter und der vater sagte ihr du sollst es haben aber du machst mich arm,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,der vater schaffte das kleid und die tochter fiel ihm dankend um den hals und kuesste ihn dreimal und rief nun herzgoldener herzallerliebster vater schenke mir eine gluecksrute und wuenschelgerte so will ich stets dein goldkind sein und alles tun was ich dir an den augen absehen kann,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,mein kind sprach der vater eine solche gerte habe ich nicht auch wird sie schwer zu bekommen sein doch will ich mein glueck versuchen dich ganz gluecklich zu machen,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,da verreisete der vater und nahm sein letztes vermoegen mit und forschte nach einer wuenschelgerte aber kein kaufmann hatte dergleichen feil so kam der mann weit in ein fernes land da fand er von ohngefaehr einen alten zauberer und hoerte dass dieser eine wuenschelgerte besitze diesen zauberer suchte der nur zu gute vater auf und trug ihm sein anliegen vor und fragte was die gerte kosten solle,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,der alte zauberer sprach wenn die menschen wuenschelgerten mit gelde kaufen koennten so wuerde es auf erden bald keinen wald mehr geben und wenn auch jedes baeumelein und jedes zweigelein eine solche rute waere der eine solche gerte empfaengt opfert seine seele und stirbt drei tage nachher wenn er sie aus der hand gegeben es waere denn er gaebe sie jemand der auch seine seele dafuer zu opfern gelobt und bereit ist dann geht die seele des besitzers frei aus,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,gut sprach der vater jener tochter meinem kinde zu liebe scheue ich das verlangte opfer nicht gib mir die gerte  der alte zauberer liess den mann seinen namen in ein buch schreiben und erfuellte sein verlangen die weite reise nach der gerte zehrte den letzten rest des vermoegens des reichen mannes auf der alles an die tochter gewendet aber es war ihm einerlei sie nur durch erfuellung aller ihrer wuensche gluecklich zu sehen war sein einziger wunsch und gedanke es ist gut dachte er wenn ich sterbe denn sie wuerde doch noch mehr wuenschen und wenn ich ihr nun keinen wunsch mehr erfuellen koennte wuerde ich selbst sehr ungluecklich sein,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,mit groesster freude empfing die tochter aus ihres vaters hand den sie mit sehnsucht zurueckerwartete die wuenschelgerte und wusste nicht wie sie ihm danken sollte,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,aber nach drei tagen hatte die tochter einen neuen wunsch sie hatte von einem ueberaus schoenen prinzen gehoert der in einem fernen lande wohne sehr reich und aller liebe wuerdig sei den wollte sie gern zum gemahl haben,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,der vater aber sprach meine geliebte tochter ich gab dir alles was ich besitze und fuer deine wuenschelgerte gab ich leib und leben ja meine seele dahin ich scheide von dir schaffe du dir den prinzen selbst den du dir wuenschest lebe gluecklich und denke mein in liebe mit diesen worten neigte der vater sein haupt und verschied seine tochter beweinte ihn aufrichtig und schmerzlich und sprach einen bessern vater hat es nie gegeben  und darin hatte sie sehr recht,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,als nun der vater dieser tochter zur erde bestattet war blieben ihr nicht verwandte nicht geld und gut da tat sie ein alltagskleid an das war ein kraehenpelz nahm ihr silberkleid ihr goldkleid und ihr diamantkleid und hing alle drei ueber ihre schulter dann nahm sie die wuenschelgerte in die hand und schwang sie und wuenschte sich in die naehe des schlosses darin der geruehmte prinz wohnte da war es als ob ein wind sie sanft erhebe und sie schwebte von der luft getragen eilend zur ferne und war bald in einem parkwalde in dessen naehe sie das prinzenschloss durch die dicken eichbaumstaemme schimmern sah sie schlug mit der gerte an die dickste dieser eichen und wuenschte dass da drinnen ein schrein waere in dem sie ihre kleider aufhaengen koenne und ein stuebchen sich darin umzukleiden und das geschah auch gleich alles sie verstellte nun ihre gestalt in die eines knaben und trat mit dem kraehenpelze angetan in das prinzenschloss der geruch feiner speisen fuehrte sie der kueche zu dort bot sie dem koch ihre dienste an als ein eltern und heimatloser knabe,0
dummy0,N,N,N,N,N,N,N,N,N,N,N,N,wohlan sprach der koch du sollst mein aschenpuester werden sollst frueh die feuer anschueren und am tage unterhalten und sorgen dass keine asche umher falle dafuer sollst du dich alle tage satt essen musst aber auch des gnaedigsten herrn prinzen roecke ausbuersten und seine stiefeln putzen und glaenzend machen  das maedchen wartete als knabe ihres amtes und sahe nach einigen tagen den prinzen der von der jagd kam dem kuechengang entlang schritt und einen vogel den er geschossen in die kueche warf damit derselbe gebraten werde der prinz war so schoen und herrlich von gestalt und ansehen dass aschenpuester alsbald eine heftige liebe zu ihm fuehlte gar zu gerne waere sie ihm genaht doch wollte sich das nicht schicken da hoerte sie drueben auf einem nachbarschlosse werde eine fuerstliche hochzeit gehalten die daure drei tage lang und da sei der prinz der vornehmste gast und fahre taeglich hinueber zum tanze alles volk und wer vom schlossgesinde nur immer konnte lief hinueber die pracht der festlichkeiten mit anzusehen da bat aschenpuester den koch ihr doch auch zu erlauben hinueber zu gehen und dem tanze zuzusehen denn die kueche sei in ordnung jedes feuer geloescht jedes fuenklein tot und die asche wohl verwahrt der koch erlaubte seinem diener sich das erbetene vergnuegen zu gewaehren aschenpuester eilte nach ihrer eiche kleidete sich in das silberne kleid und verwandelte ihre knabengestalt in die eigene dann schlug sie an einen stein mit ihrer wuenschelgerte da wurde ein galawagen daraus und ruehrte an ein paar rosskaefer daraus wurden stattliche pechschwarze rosse und ein grasfrosch wurde zum kutscher und ein gruener laubfrosch zum livreejaeger in den wagen setzte sich aschenpuester und heidi ging es fort als floegen wir davon in den tanzsaal trat die stattliche jungfrau und von ihrer schoenheit war alles geblendet der prinz gewann sie gleich lieb und zog sie zum tanze auf sie tanzte entzueckend und war sehr gluecklich aber nach einigen reigen schwand sie aus dem saale bestieg ihren draussen harrenden wagen schwang ihre gerte und rief,0
